Value_male,Value_fem
36.625,6.621
37.623,6.621
38.123,7.123
37.623,7.123
38.123,7.123
36.625,6.621
38.622,6.621
37.124,6.119
36.625,6.119
35.627,6.119
38.622,5.616
36.625,5.616
36.625,5.113
35.128,5.113
26.635,5.113
19.632,4.611
15.628,4.611
13.625,4.611
12.122,4.108
11.12,4.108
10.619,4.108
10.118,4.611
10.118,5.113
16.629,5.616
37.124,6.119
38.123,6.621
37.623,6.621
36.126,6.621
37.124,7.123
37.124,7.123
37.623,7.123
37.124,7.123
36.625,7.123
36.625,7.123
38.622,7.123
37.623,7.123
37.623,7.123
37.623,7.123
38.123,7.626
38.123,7.626
38.123,10.638
36.625,34.157
36.625,35.154
37.623,34.655
37.124,26.166
38.123,17.658
38.123,13.648
37.124,11.642
36.126,11.14
36.625,10.638
35.627,10.638
36.625,10.136
37.623,10.136
37.124,10.136
36.625,10.136
35.128,9.634
35.128,9.634
37.124,9.132
36.625,9.132
38.622,9.132
37.623,8.63
37.623,8.63
37.623,8.128
37.124,8.128
35.128,8.128
29.633,8.63
24.135,8.63
19.632,8.63
16.629,9.132
14.626,9.634
13.625,10.136
12.623,10.638
12.122,11.14
12.122,11.642
13.124,11.642
32.131,12.143
36.126,12.143
36.126,12.143
37.623,12.143
38.622,12.143
38.123,12.143
37.623,12.143
37.124,12.143
37.124,12.143
37.623,12.645
38.123,12.645
37.124,12.645
37.623,12.645
37.623,12.645
37.124,12.645
38.123,12.645
37.124,12.645
37.623,12.645
37.623,13.147
37.124,13.147
37.124,13.648
38.123,14.15
37.124,14.651
38.123,14.651
37.623,14.651
38.123,14.651
37.623,14.15
37.623,14.15
37.623,14.15
37.124,14.15
38.123,13.648
37.124,13.648
37.623,13.147
37.124,13.147
38.123,13.147
37.124,12.645
37.623,12.645
37.124,12.645
38.123,12.645
36.126,12.645
36.126,12.645
35.627,12.645
35.627,12.645
35.128,13.147
34.129,13.648
32.631,13.648
33.63,14.15
36.625,14.651
37.124,14.651
36.625,14.651
35.627,14.15
32.131,14.15
29.134,14.15
23.134,14.15
19.632,14.15
17.13,13.648
16.129,13.648
15.127,13.648
14.626,13.147
14.126,13.147
13.625,12.645
13.124,12.645
13.124,12.143
12.623,12.143
12.623,11.642
12.122,11.642
12.122,11.642
12.122,12.143
12.122,12.645
12.623,12.645
12.623,13.147
12.623,13.147
13.124,13.147
13.625,13.147
13.625,13.147
13.124,12.645
13.124,12.645
12.623,12.143
